"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0021979","BP","GO:0021979","hypothalamus cell differentiation",13,0.838030663063263,1.65986919865939,0.00421940928270042,0.00421940928270042,0.1656139226451,9255,"tags=77%, list=12%, signal=68%","NRP1/HAP1/NRP2/POU3F2/PLXNA1/PROP1/NDNF/PLXNA3/SEMA3E/OTP"
"GO:0033151","BP","GO:0033151","V(D)J recombination",17,0.781058843527476,1.65358010290573,0.00813008130081301,0.00813008130081301,0.219214526241372,8057,"tags=59%, list=10%, signal=53%","RAG2/RAG1/LEF1/LIG4/HMGB1/TCF3/DCLRE1C/POLB/ATM/CYREN"
"GO:0021854","BP","GO:0021854","hypothalamus development",30,0.694982888269673,1.61892207929594,0.0111111111111111,0.0111111111111111,0.254274229746682,12190,"tags=47%, list=16%, signal=39%","NRP1/HAP1/NRP2/POU3F2/PLXNA1/PROP1/NDNF/PLXNA3/SRD5A1/SEMA3E/OTP/CTNNB1/RAB3GAP1/PRDM13"
"GO:0070989","BP","GO:0070989","oxidative demethylation",10,0.852744147586277,1.60981971934094,0.0144927536231884,0.0144927536231884,0.280430439185531,2509,"tags=30%, list=3%, signal=29%","CYP2C8/CYP2C9/CYP1A2"
"GO:0051378","MF","GO:0051378","serotonin binding",10,0.852547993362257,1.60944941725355,0.0144927536231884,0.0144927536231884,0.280430439185531,8275,"tags=40%, list=11%, signal=36%","HTR3A/HTR1F/HTR2A/HTR2C"
"GO:0060290","BP","GO:0060290","transdifferentiation",9,0.877207418653174,1.60081623861147,0.00622406639004149,0.00622406639004149,0.195438172615214,2873,"tags=56%, list=4%, signal=54%","TERT/CD34/PDX1/GATA4/SMAD3"
"GO:0030517","BP","GO:0030517","negative regulation of axon extension",33,0.666259683587078,1.58904801617587,0.0154185022026432,0.0154185022026432,0.286156282178314,7885,"tags=39%, list=10%, signal=35%","NRP1/DRAXIN/SEMA6C/BCL11A/SEMA3F/RTN4R/MAG/SEMA5A/MAP2/SEMA3G/ARHGAP4/PLXNA3/WNT3A"
"GO:0002329","BP","GO:0002329","pre-B cell differentiation",7,0.91227669642788,1.58382420124896,0.00617283950617284,0.00617283950617284,0.194321581355155,954,"tags=43%, list=1%, signal=42%","RAG2/RAG1/IGHM"
"GO:0090399","BP","GO:0090399","replicative senescence",17,0.745741188384171,1.57880907597196,0.0223577235772358,0.0223577235772358,0.345337952298052,10428,"tags=47%, list=13%, signal=41%","MME/TERT/SERPINE1/CDKN1A/CTC1/ATM/ATR/TP53"
"GO:0000782","CC","GO:0000782","telomere cap complex",13,0.796849123747002,1.57830181493792,0.0210970464135021,0.0210970464135021,0.336809363192716,5786,"tags=38%, list=7%, signal=36%","TERT/TERF2/CTC1/TERB1/TERF1"
"GO:0000783","CC","GO:0000783","nuclear telomere cap complex",13,0.796849123747002,1.57830181493792,0.0210970464135021,0.0210970464135021,0.336809363192716,5786,"tags=38%, list=7%, signal=36%","TERT/TERF2/CTC1/TERB1/TERF1"
"GO:0051291","BP","GO:0051291","protein heterooligomerization",32,0.664822935937381,1.57780471885057,0.0152505446623094,0.0152505446623094,0.286156282178314,2647,"tags=19%, list=3%, signal=18%","GRIN2B/SYT1/GRIN1/COL1A2/CALHM3/GRIA3"
"GO:0033695","MF","GO:0033695","oxidoreductase activity, acting on CH or CH2 groups, quinone or similar compound as acceptor",4,0.959812478790298,1.57466984670973,0.00394477317554241,0.00394477317554241,0.160061400112748,2509,"tags=75%, list=3%, signal=73%","CYP2C8/CYP2C9/CYP1A2"
"GO:0034875","MF","GO:0034875","caffeine oxidase activity",4,0.959812478790298,1.57466984670973,0.00394477317554241,0.00394477317554241,0.160061400112748,2509,"tags=75%, list=3%, signal=73%","CYP2C8/CYP2C9/CYP1A2"
"GO:1903237","BP","GO:1903237","negative regulation of leukocyte tethering or rolling",4,0.955277962571255,1.56723051234251,0.00591715976331361,0.00591715976331361,0.192440232959983,2379,"tags=75%, list=3%, signal=73%","CXCL12/CCL28/CCL25"
"GO:0086075","MF","GO:0086075","gap junction channel activity involved in cardiac conduction electrical coupling",4,0.953067254128906,1.56360362063089,0.00591715976331361,0.00591715976331361,0.192440232959983,1151,"tags=50%, list=1%, signal=49%","GJC1/GJA1"
"GO:0002331","BP","GO:0002331","pre-B cell allelic exclusion",4,0.952881550444524,1.56329895487724,0.00591715976331361,0.00591715976331361,0.192440232959983,954,"tags=75%, list=1%, signal=74%","RAG2/RAG1/IGHM"
"GO:2000987","BP","GO:2000987","positive regulation of behavioral fear response",7,0.898475985551075,1.55986447503134,0.00823045267489712,0.00823045267489712,0.220937550172329,6521,"tags=71%, list=8%, signal=65%","MEF2C/PENK/NPAS2/GRP/GRPR"
"GO:0051611","BP","GO:0051611","regulation of serotonin uptake",4,0.950000229234541,1.55857185481519,0.00591715976331361,0.00591715976331361,0.192440232959983,114,"tags=25%, list=0%, signal=25%","GPM6B"
"GO:0003418","BP","GO:0003418","growth plate cartilage chondrocyte differentiation",10,0.824676288056322,1.55683290743621,0.0227743271221532,0.0227743271221532,0.348517526195013,3991,"tags=30%, list=5%, signal=28%","NPPC/COL27A1/MATN1"
"GO:0010922","BP","GO:0010922","positive regulation of phosphatase activity",4,0.946717781703549,1.55318666628652,0.00788954635108481,0.00788954635108481,0.219214526241372,2655,"tags=50%, list=3%, signal=48%","BMP2/GPLD1"
"GO:1903367","BP","GO:1903367","positive regulation of fear response",8,0.873616955632229,1.55201965515914,0.00824742268041237,0.00824742268041237,0.220937550172329,6521,"tags=62%, list=8%, signal=57%","MEF2C/PENK/NPAS2/GRP/GRPR"
"GO:2001013","BP","GO:2001013","epithelial cell proliferation involved in renal tubule morphogenesis",5,0.922200146307417,1.5501696137244,0.008,0.008,0.219214526241372,395,"tags=40%, list=1%, signal=40%","LGR5/MEF2C"
"GO:0043176","MF","GO:0043176","amine binding",14,0.769911113696075,1.54575582585452,0.0317796610169492,0.0317796610169492,0.402669170060588,8275,"tags=43%, list=11%, signal=38%","HTR3A/SLC6A3/HTR1F/HTR2A/AMD1/HTR2C"
"GO:0090289","BP","GO:0090289","regulation of osteoclast proliferation",7,0.889168054023865,1.54370476463417,0.00823045267489712,0.00823045267489712,0.220937550172329,3917,"tags=29%, list=5%, signal=27%","GREM1/OCSTAMP"
