"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FUCA2",-2.59925857135818,1.13718093064238,-5.47799974997851,0.000737617202102629,0.0405827497155983,-0.0212168229487144
"ALS2",-2.29124617882166,5.86892795985195,-5.88651262037003,0.000471498067321543,0.0366365963776077,0.288956934262121
"ACSM3",-3.95915410924643,3.88723956402516,-8.64938160623723,3.69734366020185e-05,0.0131956249262257,2.88881065696888
"MPO",-5.20019817224426,10.0253984720537,-7.55728383326607,9.25635927594248e-05,0.0185422749239215,1.99185011923879
"PROM1",6.59815863180665,5.19184840049922,5.77527581232107,0.000531472658600971,0.0374737582540394,0.312848830384567
"MGST1",-5.41158129369629,4.22198188043994,-8.07649115567484,5.90842758931176e-05,0.0143402463471742,2.43350048073713
"STAB1",-5.04361017736989,4.38774955686935,-5.34848101085978,0.000853948064323573,0.0425781016483687,-0.277083703746118
"GRN",-2.86370461966369,6.62590308462368,-4.997517587079,0.00128461764245023,0.0498720929396281,-0.752834054335607
"CYP46A1",5.88899111012222,0.708190048567024,7.90498147711815,6.83481877506871e-05,0.0156225526226093,1.84088330922386
"AIFM2",2.2872577060213,2.58589224659789,5.16892089949319,0.00105011832563059,0.0466351041892185,-0.37105144603569
"OFD1",1.64540342281936,6.42797278072663,5.1629275533902,0.00105747230105782,0.0466351041892185,-0.553422579214634
"GPM6B",5.34939934866905,3.4650280140331,5.91504544657088,0.000457351224759164,0.0365459932774616,0.461217095651663
"HDAC9",1.69038034881432,7.39331325318283,5.835674270694,0.000497922759381531,0.0371157121209447,0.21941706331689
"PTGER3",-4.80926558171986,1.5920565852098,-7.34390255011372,0.000112119345911765,0.0193291852023986,1.81074549147351
"HOMER3",-4.00755767595468,1.60035851306356,-9.01698283583768,2.77408014657472e-05,0.0129553486500286,3.11953607530833
"LAMA3",3.88574064079947,1.62386039869113,6.53895556829607,0.000240755561011852,0.0270590628600227,1.01133272144816
"DGKG",-4.22464210778655,5.98078521757121,-7.95192763060775,6.56602576038763e-05,0.0151787115958597,2.32158514016364
"TBXAS1",-1.89062020989356,7.20337584538518,-5.38070090941984,0.000823224800510121,0.0416588609870084,-0.294471881401839
"MXD1",-1.98346882570013,7.43839296737646,-5.39425450020191,0.000810667283715672,0.0415804809401121,-0.272330260225582
"CTSA",-2.5632182733397,6.00090187743316,-7.60259048762764,8.89213357084111e-05,0.0182873102079993,2.00621388323091
"SNCAIP",-5.17567440419174,-2.03068784985942,-5.27089897080707,0.000933252075815962,0.0443813477950727,-0.245471947603668
"MYLK",6.88541303488027,1.96831546008835,7.31741112220605,0.000114854289891246,0.0196342925988034,1.59399014034074
"SLC9A7",2.2564648291565,6.60206819993404,6.8275514160077,0.000181630691430665,0.0233498969664172,1.27427802229402
"DDX3Y",-6.16930640207676,4.64231171949149,-5.98538460646043,0.000424445644926899,0.035857678326775,0.461896315251837
"MAST4",-2.3425919115573,4.40682570216478,-5.10835822326191,0.00112710333714009,0.0470890870530544,-0.582179978303696
"CLTCL1",-3.62739404686545,4.30787649848083,-6.64956990982182,0.000215874072699184,0.0253845448608064,1.13675748264158
"FSTL3",-2.35197347298529,2.90803544094385,-5.03257360774242,0.00123232478892706,0.0489007120102432,-0.594907984515541
"FCGR2B",-2.86227497497049,1.66416821251114,-6.27151271510419,0.000315207926322711,0.0312793894886971,0.80446001005186
"FRY",-4.12463927810297,7.45843910835131,-9.79427901707875,1.55945907963414e-05,0.0129553486500286,3.72351905002154
"NOTCH3",-2.79968497221844,-0.476095041813853,-5.07566738090326,0.00117122731238362,0.047843930152249,-0.437356788594757
"RASAL2",-2.60596908767608,4.39049203282498,-5.75423514014208,0.000543742612391759,0.0376236597411073,0.175464089433277
"FNDC3B",-3.92009087978486,9.41662942680144,-7.08063482818905,0.000142899865910481,0.0219221698270189,1.55844137519076
"FMO4",-2.24263116332173,0.996687492678877,-5.2159728987307,0.000994304822456114,0.0455566283856413,-0.31405882984712
